resourceid,resourcename,resourceorganization,resourcetypeabbr,scheduledays,resourcetitle,ratecategory,step,rate_regular,rate_regular_night,rate_regular_sunday,rate_regular_sunday_night, rate_overtime, rate_overtime_night, rate_overtime_sunday_night
279-23-7855,"Brechtel, Norbert ES OFC/T",1,PSS,Mon - Fri,Officer/Tech,LE-1T,6,36.63,40.29,45.79,49.45,54.95,58.61,67.77
281-01-4779,"Bindel, Julie ES OFC",1,RADIO,Mon - Fri,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
299-79-7717,"Rahr, Johnny ES OFC/T",1,RADIO,Mon - Fri,Officer/Tech,LE-1T,3,31.56,34.72,39.45,42.61,47.34,50.5,58.39
306-82-0739,"Peterson, Terry ES OFC/T",1,Lead Advance,Mon - Fri,Officer/Tech,LE-1T,5,34.94,38.43,43.68,47.17,52.41,55.9,64.64
307-91-9314,"Turner, Mike ES OFC/T",1,RADIO,Mon - Fri,Officer/Tech,LE-1T,13,48.47,53.32,60.59,65.43,72.71,77.55,89.67
307-92-3772,"Humphrey, Christoper ES OFC",1,PSS,Mon - Fri,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
309-30-5098,"Harrison, Gerald ES OFC/T",1,PHYS SEC LEAD,Mon - Fri,Officer/Tech,LE-1T,5,34.94,38.43,43.68,47.17,52.41,55.9,64.64
310-09-8595,"Sellers, Keneth ES OFC",1,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
312-87-5258,"Haisley, Brett ES OFC",1,PSS,Mon - Fri,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
317-98-2765,"Frye, Davis ES OFC/T",1,PSS,Wed - Sun,Officer/Tech,LE-1T,2,29.87,32.86,37.34,40.32,44.81,47.79,55.26
325-37-4148,"Carchidi, Dylan ES OFC/T",1,PSS,Mon - Fri,Officer/Tech,LE-1T,5,34.94,38.43,43.68,47.17,52.41,55.9,64.64
333-98-5238,"Sanders, Tammy ES LT",1,Lead Advance,Sat - Wed,Lieutenant,LE-5,6,43.72,48.09,54.65,59.02,65.58,69.95,80.88
341-32-3832,"Reynolds, Jonathan ES OFC",1,PSS,Mon - Fri,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
342-09-0146,"Isby, Bryce ES OFC/T",1,PSS,Wed - Sun,Officer/Tech,LE-1T,9,41.7,45.87,52.13,56.3,62.55,66.72,77.15
351-08-4036,"Ferber, Kenny ES OFC",1,PSS,Mon - Fri,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
353-73-6552,"Jelden, Charlotte ES OFC",1,PSS,Mon - Fri,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
353-98-2035,"Foglia, Sylvester ES OFC",1,PSS,Mon - Fri,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
360-11-9851,"Breslow, Oscar ES OFC",1,PSS,Sat - Wed,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
360-56-3911,"Chen, Miles ES OFC",1,PSS,Wed - Sun,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
360-91-5888,"Bassette, Samantha ES OFC",1,PSS,Sat - Wed,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
361-45-0788,"Beard, Clark ES OFC",1,PSS,Mon - Fri,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
366-54-5976,"Wertheim, Roscoe ES OFC",1,PSS,Mon - Fri,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
372-33-6833,"Dotson, Blaine ES OFC",1,PSS,Wed - Sun,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
375-73-6048,"Hurst, Grady ES OFC",1,PSS,Mon - Fri,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
385-73-4562,"Conway, Gertrude ES OFC",1,PSS,Wed - Sun,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
387-67-9224,"Mcgrath, Carol ES OFC/T",1,PSS,Mon - Fri,Officer/Tech,LE-1T,8,40.01,44.01,50.01,54.01,60.02,64.02,74.02
387-99-6681,"Kline, Tyson ES SGT",1,PSS,Mon - Fri,Sergeant,LE-4,5,37.91,41.7,47.39,51.18,56.87,60.66,70.13
395-68-4599,"Simmons, Andrew ES OFC",1,PSS,Mon - Fri,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
398-05-7726,"Domeier, Shirley ES OFC",1,PSS,Mon - Fri,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
404-73-4710,"Potterson, Doyle ES OFC",1,PSS,Mon - Fri,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
407-05-1872,"Silva, Teresa ES SGT/T",1,PSS,Mon - Fri,Sergeant/Tech,LE-4T,7,44.07,48.48,55.09,59.49,66.11,70.51,81.53
407-23-4246,"Weissinger, Dana ES OFC",1,PSS,Mon - Fri,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
408-10-0200,"Obholz, Fabian ES CPT",1,PSS,Mon - Fri,Captain,LE-7,13,63.63,69.99,79.54,85.9,63.63,69.99,85.9
411-72-4856,"Nelson, Antonio ES OFC",1,PSS,Mon - Fri,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
418-69-7648,"Bermudes, Norma ES OFC",1,PSS,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
430-29-9154,"Mieloszyk, Marcos ES OFC",1,PSS,Mon - Fri,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
432-61-3109,"Severy, Pamela ES OFC/T",1,PSS,Mon - Fri,Officer/Tech,LE-1T,5,34.94,38.43,43.68,47.17,52.41,55.9,64.64
442-63-7914,"Rodebaugh, Guy ES OFC",1,PSS,Sat - Wed,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
443-34-3930,"Haker, Joyce ES OFC",1,PSS,Mon - Fri,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
444-64-3627,"Usman, Sarah ES SGT/T",1,PSS,Wed - Sun,Sergeant/Tech,LE-4T,7,44.07,48.48,55.09,59.49,66.11,70.51,81.53
447-35-9680,"Frank, Andrea ES OFC",1,PSS,Mon - Fri,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
448-80-2904,"James, Kathy ES OFC",1,PSS,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
449-63-6162,"Marks, Doyle ES OFC",1,PSS,Sat - Wed,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
450-14-9172,"Stewart, Rita ES LT",1,PSS,Sat - Wed,Lieutenant,LE-5,7,45.73,50.3,57.16,61.74,68.6,73.17,84.6
458-40-2350,"Southwick, Earnest ES OFC",1,PSS,Mon - Fri,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
459-14-3046,"Toller, Tommy ES OFC/T",1,PSS,Mon - Fri,Officer/Tech,LE-1T,13,48.47,53.32,60.59,65.43,72.71,77.55,89.67
464-77-0467,"Butler, Stephen ES OFC",1,PSS,Mon - Fri,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
473-41-1885,"Petersen, Jarred ES OFC",1,PSS,Wed - Sun,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
475-38-1188,"Farley, Sammie ES INS",1,PSS,Mon - Fri,Inspector,LE-8,9,62.96,69.26,78.7,85,62.96,69.26,85
492-98-5137,"Federer, Jake ES OFC",1,PHYS SEC LEAD,Mon - Fri,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
493-33-6302,"Sein, Gerard ES OFC",1,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
499-42-2347,"Raff, Matthew ES OFC",1,PSS,Sat - Wed,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
503-66-3158,"Crager, Luther ES OFC",1,PSS,Mon - Fri,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
505-98-9952,"Dixon, Debra ES OFC",1,PSS,Mon - Fri,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
509-05-5388,"Mcnellis, Ollie ES OFC",1,PSS,Mon - Fri,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
511-59-3910,"Patton, Zachary ES OFC/T",1,PHYS SEC LEAD,Sat - Wed,Officer/Tech,LE-1T,6,36.63,40.29,45.79,49.45,54.95,58.61,67.77
519-44-2223,"Wheeler, Richard ES OFC",1,PSS,Mon - Fri,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
520-32-7835,"Guthrie, Gale ES OFC",1,PSS,Mon - Fri,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
522-83-1053,"Byers, Branden ES OFC",1,PSS,Sat - Wed,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
527-47-5500,"Nash, Dolores ES OFC",1,PSS,Mon - Fri,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
528-33-6077,"Luken, Debbie ES SGT",1,PSS,Mon - Fri,Sergeant,LE-4,8,43.41,47.75,54.26,58.61,65.12,69.46,80.31
529-46-1784,"Navarro, Devin ES OFC",1,PSS,Mon - Fri,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
539-55-1190,"Wallace, Ryan ES OFC",1,PSS,Sat - Wed,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
563-16-1703,"Manley, Rosario ES LT",1,PSS,Wed - Sun,Lieutenant,LE-5,6,43.72,48.09,54.65,59.02,65.58,69.95,80.88
563-89-6042,"Owens, Justin ES OFC",1,PSS,Wed - Sun,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
587-44-0822,"Caldwell, Theresa ES OFC",1,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
590-57-9383,"Lingenfelter, Willis ES OFC",1,PSS,Sat - Wed,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
594-37-8059,"Pizzolato, Vern ES OFC",1,PSS,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
617-22-9208,"Baysinger, Ruby ES SGT",1,RADIO,Wed - Sun,Sergeant,LE-4,5,37.91,41.7,47.39,51.18,56.87,60.66,70.13
618-70-5588,"Brown, Jean ES OFC",1,RADIO,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
626-75-3237,"Payne, Janice ES OFC",1,PSS,Sat - Wed,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
627-59-2040,"Quitero, Ruben ES OFC",1,PSS,Wed - Sun,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
627-89-9324,"Vang, Stevie ES OFC/T",1,PSS,Sat - Wed,Officer/Tech,LE-1T,8,40.01,44.01,50.01,54.01,60.02,64.02,74.02
632-48-4516,"Maski, Veronica ES OFC",1,INT,Mon - Fri,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
638-65-4884,"Crawford, Amy ES OFC",1,PSS,Mon - Fri,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
640-03-6164,"Barnett, Steve ES OFC/T",1,PSS,Mon - Fri,Officer/Tech,LE-1T,12,46.78,51.46,58.48,63.15,70.17,74.85,86.54
652-32-9065,"Glimpse, Angelo ES OFC",1,RADIO,Mon - Fri,Officer,LE-1,7,36.15,39.77,45.19,48.8,54.23,57.85,66.88
654-57-0633,"Cramer, Darnell ES OFC",1,RADIO,Mon - Fri,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
657-94-8782,"Jeffus, James ES OFC",1,PSS,Mon - Fri,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
658-07-1963,"Bervig, Sheldon ES INS",1,PSS,Mon - Fri,Inspector,LE-8,8,60.41,66.45,75.51,81.55,60.41,66.45,81.55
660-26-8853,"Arreaga, Dana ES OFC",1,PSS,Wed - Sun,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
660-56-9604,"Riedle, Manuel ES OFC/T",1,PSS,Wed - Sun,Officer/Tech,LE-1T,5,34.94,38.43,43.68,47.17,52.41,55.9,64.64
681-70-0270,"Goddard, Barry ES OFC",1,RADIO,Sat - Wed,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
683-77-4704,"Kulish, Colin ES OFC",1,PSS,Mon - Fri,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
692-67-1727,"Rusconi, Marion ES OFC",1,PSS,Mon - Fri,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
696-29-9767,"Wholey, Santiago ES CPT",1,PSS,Sat - Wed,Captain,LE-7,8,52.53,57.78,65.66,70.92,52.53,57.78,70.92
698-07-1014,"Shankman, Scotty ES OFC",1,PSS,Wed - Sun,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
700-80-4203,"Mcglasson, Kathryn ES SGT",1,PSS,Mon - Fri,Sergeant,LE-4,5,37.91,41.7,47.39,51.18,56.87,60.66,70.13
701-69-3364,"Middlebrook, Damien ES OFC",1,PSS,Mon - Fri,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
703-63-9051,"Pond, Hugh ES SGT",1,PSS,Mon - Fri,Sergeant,LE-4,12,50.75,55.83,63.44,68.51,76.13,81.2,93.89
704-33-4140,"Russell, Harold ES LT",1,PSS,Mon - Fri,Lieutenant,LE-5,12,55.81,61.39,69.76,75.34,83.71,89.29,103.24
709-44-0495,"Tok, Jess ES OFC",1,PSS,Wed - Sun,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
709-94-1383,"Poole, Nelson ES OFC",1,PSS,Wed - Sun,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
720-20-1998,"Ludlam, Zachary ES OFC/T",1,PSS,Sat - Wed,Officer/Tech,LE-1T,7,38.32,42.15,47.9,51.73,57.48,61.31,70.89
723-57-2829,"Madison, Dino ES SGT",1,PSS,Mon - Fri,Sergeant,LE-4,4,36.07,39.68,45.09,48.69,54.11,57.71,66.73
724-75-6022,"Powell, Scott ES OFC",1,PSS,Mon - Fri,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
725-02-4943,"Diaz, Emily ES OFC",1,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
725-69-5457,"Schlehuber, Harry ES SGT",1,PSS,Sat - Wed,Sergeant,LE-4,12,50.75,55.83,63.44,68.51,76.13,81.2,93.89
726-42-0553,"Rasher, Rickie ES SGT/T",1,PSS,Mon - Fri,Sergeant/Tech,LE-4T,11,51.85,57.03,64.81,69.99,77.77,82.96,95.92
726-88-8995,"Meiers, Lori ES OFC",1,PSS,Mon - Fri,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
