scheduleid,resourceid,operationid,shiftstart,shiftid,costtravel,costlabor,cost_regular,cost_regular_night,cost_regular_sunday,cost_regular_sunday_night,cost_overtime,cost_overtime_night,cost_overtime_sunday_night
1,426-90-7400,3,2013-10-06,2,700,297.76,0,0,297.76,0,0,0,0
1,426-90-7400,3,2013-10-07,2,700,238.16,238.16,0,0,0,0,0,0
1,426-90-7400,3,2013-10-08,2,700,238.16,238.16,0,0,0,0,0,0
1,788-51-4058,3,2013-10-05,1,400,327.52,327.52,0,0,0,0,0,0
1,788-51-4058,3,2013-10-06,1,400,409.36,0,0,409.36,0,0,0,0
1,788-51-4058,3,2013-10-07,1,400,327.52,327.52,0,0,0,0,0,0
1,788-51-4058,3,2013-10-08,1,400,327.52,327.52,0,0,0,0,0,0
1,306-06-0422,3,2013-10-05,3,1300,426.56,0,426.56,0,0,0,0,0
1,306-06-0422,3,2013-10-06,3,1300,523.44,0,0,0,523.44,0,0,0
1,306-06-0422,3,2013-10-07,3,1300,426.56,0,426.56,0,0,0,0,0
1,306-06-0422,3,2013-10-08,3,1300,426.56,0,426.56,0,0,0,0,0
1,047-31-0149,3,2013-10-05,2,900,276.48,276.48,0,0,0,0,0,0
1,047-31-0149,3,2013-10-06,2,900,345.6,0,0,345.6,0,0,0,0
1,047-31-0149,3,2013-10-07,2,900,276.48,276.48,0,0,0,0,0,0
1,047-31-0149,3,2013-10-08,2,900,276.48,276.48,0,0,0,0,0,0
1,383-81-4034,3,2013-10-05,1,1000,596.08,596.08,0,0,0,0,0,0
1,383-81-4034,3,2013-10-06,1,1000,745.12,0,0,745.12,0,0,0,0
1,383-81-4034,3,2013-10-07,1,1000,596.08,596.08,0,0,0,0,0,0
1,383-81-4034,3,2013-10-08,1,1000,596.08,596.08,0,0,0,0,0,0
1,438-26-4799,3,2013-10-05,2,1100,225.44,225.44,0,0,0,0,0,0
1,438-26-4799,3,2013-10-06,2,1100,281.84,0,0,281.84,0,0,0,0
1,438-26-4799,3,2013-10-07,2,1100,225.44,225.44,0,0,0,0,0,0
1,438-26-4799,3,2013-10-08,2,1100,225.44,225.44,0,0,0,0,0,0
1,443-78-9522,3,2013-10-05,2,900,306.56,306.56,0,0,0,0,0,0
1,443-78-9522,3,2013-10-06,2,900,383.2,0,0,383.2,0,0,0,0
1,443-78-9522,3,2013-10-07,2,900,306.56,306.56,0,0,0,0,0,0
1,443-78-9522,3,2013-10-08,2,900,306.56,306.56,0,0,0,0,0,0
1,761-97-3982,3,2013-10-05,1,555,238.96,238.96,0,0,0,0,0,0
1,761-97-3982,3,2013-10-06,1,555,298.72,0,0,298.72,0,0,0,0
1,761-97-3982,3,2013-10-07,1,555,238.96,238.96,0,0,0,0,0,0
1,761-97-3982,3,2013-10-08,1,555,238.96,238.96,0,0,0,0,0,0
1,456-85-8462,3,2013-10-05,2,900,263.68,263.68,0,0,0,0,0,0
1,456-85-8462,3,2013-10-06,2,900,329.6,0,0,329.6,0,0,0,0
1,456-85-8462,3,2013-10-07,2,900,263.68,263.68,0,0,0,0,0,0
1,456-85-8462,3,2013-10-08,2,900,263.68,263.68,0,0,0,0,0,0
1,000-46-4028,10,2013-05-06,1,900,313.68,0,0,313.68,0,0,0,0
1,000-46-4028,10,2013-05-07,1,900,250.96,250.96,0,0,0,0,0,0
1,000-46-4028,10,2013-05-08,1,900,250.96,250.96,0,0,0,0,0,0
1,826-13-2906,10,2013-05-06,1,1100,313.68,0,0,313.68,0,0,0,0
1,826-13-2906,10,2013-05-07,1,1100,250.96,250.96,0,0,0,0,0,0
1,826-13-2906,10,2013-05-08,1,1100,250.96,250.96,0,0,0,0,0,0
1,272-98-6377,10,2013-05-06,1,455,409.36,0,0,409.36,0,0,0,0
1,272-98-6377,10,2013-05-07,1,455,327.52,327.52,0,0,0,0,0,0
1,272-98-6377,10,2013-05-08,1,455,327.52,327.52,0,0,0,0,0,0
1,544-62-5485,10,2013-05-06,1,600,265.84,0,0,265.84,0,0,0,0
1,544-62-5485,10,2013-05-07,1,600,212.64,212.64,0,0,0,0,0,0
1,544-62-5485,10,2013-05-08,1,600,212.64,212.64,0,0,0,0,0,0
1,218-01-3905,10,2013-05-06,1,900,425.28,0,0,425.28,0,0,0,0
1,218-01-3905,10,2013-05-07,1,900,340.24,340.24,0,0,0,0,0,0
1,218-01-3905,10,2013-05-08,1,900,340.24,340.24,0,0,0,0,0,0
1,409-89-0066,10,2013-05-06,1,700,409.36,0,0,409.36,0,0,0,0
1,409-89-0066,10,2013-05-07,1,700,327.52,327.52,0,0,0,0,0,0
1,409-89-0066,10,2013-05-08,1,700,327.52,327.52,0,0,0,0,0,0
1,885-54-3386,10,2013-05-06,2,900,377.44,0,0,377.44,0,0,0,0
1,885-54-3386,10,2013-05-07,2,900,302,302,0,0,0,0,0,0
1,885-54-3386,10,2013-05-08,2,900,302,302,0,0,0,0,0,0
1,543-14-8148,10,2013-05-06,2,700,281.76,0,0,281.76,0,0,0,0
1,543-14-8148,10,2013-05-07,2,700,225.44,225.44,0,0,0,0,0,0
1,543-14-8148,10,2013-05-08,2,700,225.44,225.44,0,0,0,0,0,0
1,252-97-2518,10,2013-05-06,3,100,346.24,0,346.24,0,0,0,0,0
1,252-97-2518,10,2013-05-07,3,100,346.24,0,346.24,0,0,0,0,0
1,252-97-2518,10,2013-05-08,3,100,346.24,0,346.24,0,0,0,0,0
1,232-64-9847,10,2013-05-06,3,200,276,0,276,0,0,0,0,0
1,232-64-9847,10,2013-05-07,3,200,276,0,276,0,0,0,0,0
1,232-64-9847,10,2013-05-08,3,200,276,0,276,0,0,0,0,0
1,829-46-7083,8,2013-05-07,1,100,212.64,212.64,0,0,0,0,0,0
1,845-00-3400,8,2013-05-07,1,100,374.24,374.24,0,0,0,0,0,0
1,847-03-7982,8,2013-05-07,1,100,353.04,353.04,0,0,0,0,0,0
1,857-23-8707,8,2013-05-07,1,100,360.72,360.72,0,0,0,0,0,0
1,859-75-1989,8,2013-05-07,1,100,365.76,365.76,0,0,0,0,0,0
1,859-75-7059,8,2013-05-07,1,100,365.76,365.76,0,0,0,0,0,0
1,894-67-7629,8,2013-05-07,1,100,365.76,365.76,0,0,0,0,0,0
1,928-27-2213,8,2013-05-07,1,100,289.2,289.2,0,0,0,0,0,0
1,958-41-0943,8,2013-05-07,1,100,238.16,238.16,0,0,0,0,0,0
1,960-64-9956,8,2013-05-07,1,100,266,266,0,0,0,0,0,0
1,962-67-3314,8,2013-05-07,1,100,353.04,353.04,0,0,0,0,0,0
1,975-08-0307,8,2013-05-07,1,100,263.68,263.68,0,0,0,0,0,0
1,975-82-0896,8,2013-05-07,1,100,293.04,293.04,0,0,0,0,0,0
1,992-71-7397,8,2013-05-07,1,100,212.64,212.64,0,0,0,0,0,0
1,005-27-2215,8,2013-05-07,1,350,276.48,276.48,0,0,0,0,0,0
1,020-93-7548,8,2013-05-07,1,350,276.48,276.48,0,0,0,0,0,0
1,095-52-9440,8,2013-05-07,1,350,340.24,340.24,0,0,0,0,0,0
1,118-50-6383,8,2013-05-07,2,350,225.44,225.44,0,0,0,0,0,0
1,120-36-9826,8,2013-05-07,2,350,353.04,353.04,0,0,0,0,0,0
1,129-71-9024,8,2013-05-07,2,350,250.96,250.96,0,0,0,0,0,0
1,140-66-7100,8,2013-05-07,2,350,250.96,250.96,0,0,0,0,0,0
1,158-15-2933,8,2013-05-07,2,350,327.52,327.52,0,0,0,0,0,0
1,166-63-5299,8,2013-05-07,2,350,212.64,212.64,0,0,0,0,0,0
1,232-08-9836,8,2013-05-07,2,350,365.76,365.76,0,0,0,0,0,0
1,234-65-5366,8,2013-05-07,2,350,374.24,374.24,0,0,0,0,0,0
1,237-45-4306,8,2013-05-07,2,350,340.24,340.24,0,0,0,0,0,0
1,245-20-4367,8,2013-05-07,2,350,266,266,0,0,0,0,0,0
1,287-18-1486,8,2013-05-07,2,350,250.96,250.96,0,0,0,0,0,0
1,293-57-9034,8,2013-05-07,2,350,347.12,347.12,0,0,0,0,0,0
1,294-88-9485,8,2013-05-07,2,350,347.28,347.28,0,0,0,0,0,0
1,295-58-6586,8,2013-05-07,2,350,238.16,238.16,0,0,0,0,0,0
1,314-32-7975,8,2013-05-07,2,350,276.48,276.48,0,0,0,0,0,0
1,387-11-2689,8,2013-05-07,2,350,314.72,314.72,0,0,0,0,0,0
1,394-54-6114,8,2013-05-07,2,350,314.72,314.72,0,0,0,0,0,0
1,430-94-1797,8,2013-05-07,2,350,263.68,263.68,0,0,0,0,0,0
1,497-13-2667,8,2013-05-07,2,350,327.52,327.52,0,0,0,0,0,0
1,498-67-1296,8,2013-05-07,2,350,387.76,387.76,0,0,0,0,0,0
1,529-78-5698,8,2013-05-07,2,350,238.96,238.96,0,0,0,0,0,0
1,548-17-6661,8,2013-05-07,2,350,238.16,238.16,0,0,0,0,0,0
1,654-68-4469,8,2013-05-07,2,350,225.44,225.44,0,0,0,0,0,0
1,664-49-4521,8,2013-05-07,2,350,266,266,0,0,0,0,0,0
1,670-39-4002,8,2013-05-07,2,350,374.24,374.24,0,0,0,0,0,0
1,684-55-8457,8,2013-05-07,3,350,276,0,276,0,0,0,0,0
1,703-96-9544,8,2013-05-07,3,350,402.4,0,402.4,0,0,0,0,0
1,705-34-4640,8,2013-05-07,3,350,290.08,0,290.08,0,0,0,0,0
1,719-92-8066,8,2013-05-07,3,350,388.32,0,388.32,0,0,0,0,0
1,744-98-1358,8,2013-05-07,3,350,233.92,0,233.92,0,0,0,0,0
1,806-92-4451,8,2013-05-07,3,350,346.24,0,346.24,0,0,0,0,0
1,860-30-9124,8,2013-05-07,3,350,233.92,0,233.92,0,0,0,0,0
1,899-18-9463,8,2013-05-07,3,350,318.16,0,318.16,0,0,0,0,0
1,911-56-8995,8,2013-05-07,3,350,332.16,0,332.16,0,0,0,0,0
1,922-57-4770,8,2013-05-07,3,350,276,0,276,0,0,0,0,0
1,926-15-5393,8,2013-05-07,3,350,462.8,0,462.8,0,0,0,0,0
1,000-46-4028,2,2013-10-05,1,1000,250.96,250.96,0,0,0,0,0,800
1,000-46-4028,2,2013-10-06,2,1000,313.68,0,0,313.68,0,0,0,0
1,000-46-4028,2,2013-10-07,3,1000,276,0,276,0,0,0,0,0
1,000-46-4028,2,2013-10-08,2,1000,250.96,250.96,0,0,0,0,0,0
1,001-22-6835,2,2013-10-05,1,2000,368.16,368.16,0,0,0,0,0,0
1,001-22-6835,2,2013-10-06,2,2000,460.16,0,0,460.16,0,0,0,0
